"key","message","comment","context"
"My Jobs","我的工作",,,
"Process Management","流程管理",,,
"Business Generator","业务构建",,,
"Process Generator","流程构建",,,
"Process Apply","流程申请",,,
"Process Holiday","请假流程",,,
"Waiting Management","待办管理",,,
"My Remaining","我的待办",,,
"My Handled","我的已办",,,
"Start Node","开始节点",,,
"Approval Node","审批节点",,,
"Branch Node","分支节点",,,
"Connection Node","连接",,,
"Event Node","结束节点",,,
"Parallel Node","并行节点",,,
"Inclusive Node","包含节点",,,
"Action Approval","审批",,,
"Action CounterSign","会签",,,
"Draft","草稿",,,
"Approval","审批中",,,
"End","结束",,,
"Process Preview","流程预览",,,
"Published","已发布",,,
"Unpublished","未发布",,,
"Agree","同意",,,
"Disagree","不同意",,,
